,date,country,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious,total_cases_per_million,total_deaths_per_million,total_tests
108,2020-05-05,Georgia,604,+11,9 ,,240,355,6,151,2,"20,579"
109,2020-05-05,San Marino,589,+7,41 ,,92,456,5,"17,359","1,208","2,538"
110,2020-05-05,El Salvador,587,+32,13 ,,201,373,3,90,2,"30,387"
111,2020-05-05,Maldives,573,+32,2 ,+1,20,551,2,"1,060",4,"9,863"
112,2020-05-05,Channel Islands,544,,41 ,,406,97,,"3,129",236,"5,342"
113,2020-05-05,Kenya,535,+45,24 ,,182,329,2,10,0.4,"24,784"
114,2020-05-05,Malta,482,+2,5 ,+1,403,74,1,"1,092",11,"36,945"
115,2020-05-05,Tanzania,480,,16 ,,167,297,7,8,0.3,
116,2020-05-05,Jamaica,471,+2,9 ,,49,413,2,159,3,"5,830"
117,2020-05-05,Jordan,471,+6,9 ,,375,87,5,46,0.9,"91,666"
118,2020-05-05,Taiwan,438,,6 ,,334,98,,18,0.3,"64,958"
119,2020-05-05,Paraguay,431,+35,10 ,,135,286,7,60,1,"11,913"
120,2020-05-05,Réunion,424,, ,,300,124,2,474,,
121,2020-05-05,Guinea-Bissau,413,,1 ,,19,393,,210,0.5,"1,500"
122,2020-05-05,Palestine,371,+9,2 ,,127,242,,73,0.4,"32,200"
123,2020-05-05,Gabon,367,,6 ,,93,268,1,165,3,724
124,2020-05-05,Venezuela,361,+4,10 ,,158,193,1,13,0.4,"482,953"
125,2020-05-05,Mauritius,332,,10 ,,319,3,3,261,8,"18,959"
126,2020-05-05,Isle of Man,326,+1,23 ,,271,32,19,"3,834",270,"3,459"
127,2020-05-05,Montenegro,324,+1,8  ,,253,63,2,516,13,"7,816"
128,2020-05-05,Equatorial Guinea,315,,3 ,,13,299,,225,2,854
129,2020-05-05,Tajikistan,293,+63,5 ,+2,,288,,31,0.5,
130,2020-05-05,Vietnam,271,, ,,232,39,8,3,,"261,004"
131,2020-05-05,Rwanda,261,, ,,129,132,,20,,"35,992"
132,2020-05-05,Congo,236,,10 ,,26,200,,43,2,
133,2020-05-05,Sierra Leone,199,+21,11 ,+2,43,145,,25,1,
134,2020-05-05,Faeroe Islands,187,, ,,185,2,,"3,827",,"8,157"
135,2020-05-05,Cabo Verde,186,+11,2  ,,37,147,,335,4,791
136,2020-05-05,Martinique,181,,14 ,,83,84,5,482,37,
137,2020-05-05,Chad,170,+53,17 ,+7,43,110,,10,1,
138,2020-05-05,Liberia,166,,18 ,,58,90,,33,4,
139,2020-05-05,Myanmar,161,,6 ,,49,106,,3,0.1,"9,037"
140,2020-05-05,Guadeloupe,152,,12 ,,98,42,5,380,30,
141,2020-05-05,Madagascar,151,+2, ,,101,50,1,5,,"3,861"
142,2020-05-05,Ethiopia,145,+5,4 ,+1,91,50,,1,0.03,"25,135"
143,2020-05-05,Gibraltar,144,, ,,133,11,,"4,274",,"2,931"
144,2020-05-05,Zambia,138,+1,3 ,,92,43,1,8,0.2,"7,277"
145,2020-05-05,Brunei ,138,,1 ,,131,6,2,315,2,"14,610"
146,2020-05-05,French Guiana,133,,1 ,,100,32,2,445,3,
147,2020-05-05,Togo,128,+2,9 ,,74,45,,15,1,"7,896"
148,2020-05-05,Cambodia,122,, ,,120,2,1,7,,"12,461"
149,2020-05-05,Eswatini,119,+3,1 ,,12,106,,103,0.9,714
150,2020-05-05,Trinidad and Tobago,116,,8 ,,102,6,,83,6,"2,055"
151,2020-05-05,Bermuda,115,,7  ,,54,54,4,"1,847",112,"3,270"
152,2020-05-05,Aruba,101,+1,2 ,,82,17,4,946,19,"1,780"
153,2020-05-05,Haiti,100,,11 ,,10,79,,9,1.0,"1,026"
154,2020-05-05,Uganda,97,, ,,55,42,,2,,"41,478"
155,2020-05-05,Benin,96,,2 ,,50,44,,8,0.2,
156,2020-05-05,Monaco,95,,4 ,,81,10,1,"2,421",102,
