,index,1,2,3,4,5,6,7,8,9,10
65,Czechia,Czechia,"10,923",+53,346 ,+1,"7,664",+15,"2,913",13,"1,020"
66,Sudan,Sudan,"9,084",+100,559 ,+3,"3,912",+106,"4,613",,207
67,Norway,Norway,"8,828",+40,249 ,,"8,138",,441,4,"1,629"
68,Malaysia,Malaysia,"8,606",+6,121 ,,"8,294",+23,191,2,266
69,Ivory Coast,Ivory Coast,"8,334",,60 ,,"3,487",,"4,787",,316
70,Australia,Australia,"7,595",+37,104 ,,"6,958",+27,533,1,298
71,Uzbekistan,Uzbekistan,"7,427",+250,20 ,,"5,038",+161,"2,369",26,222
72,Finland,Finland,"7,191",+19,328 ,+1,"6,600",,263,1,"1,298"
73,DRC,DRC,"6,552",+141,149 ,+7,900,+15,"5,503",,73
74,Senegal,Senegal,"6,354",+121,98 ,+4,"4,193",+31,"2,063",27,380
75,North Macedonia,North Macedonia,"5,758",+163,268 ,+3,"2,206",+40,"3,284",55,"2,764"
76,Tajikistan,Tajikistan,"5,747",+56,52 ,,"4,331",+64,"1,364",,603
77,Haiti,Haiti,"5,543",+114,96 ,+4,512,,"4,935",,486
78,Kenya,Kenya,"5,533",+149,137 ,+5,"1,905",+48,"3,491",7,103
79,El Salvador,El Salvador,"5,517",+181,133 ,+7,"3,291",+175,"2,093",137,851
80,Ethiopia,Ethiopia,"5,425",+250,89 ,+8,"1,688",+144,"3,648",27,47
81,Guinea,Guinea,"5,174",,29 ,,"3,861",,"1,284",24,394
82,Gabon,Gabon,"5,087",,40 ,,"2,270",,"2,777",10,"2,287"
83,Djibouti,Djibouti,"4,643",+8,52 ,,"4,348",+79,243,,"4,701"
84,Venezuela,Venezuela,"4,563",,39 ,,"1,327",,"3,197",9,160
85,Bulgaria,Bulgaria,"4,408",,211 ,,"2,370",,"1,827",16,634
86,Kyrgyzstan,Kyrgyzstan,"4,204",+250,43  ,,"2,162",+50,"1,999",30,645
87,Luxembourg,Luxembourg,"4,173",+22,110 ,,"3,968",,95,1,"6,668"
88,Hungary,Hungary,"4,127",+4,578 ,+1,"2,663",+23,886,13,427
89,Bosnia and Herzegovina,Bosnia and Herzegovina,"3,935",+139,178 ,+3,"2,338",+16,"1,419",4,"1,199"
90,Mauritania,Mauritania,"3,907",+168,120 ,+1,"1,280",+55,"2,507",21,841
91,Greece,Greece,"3,343",+22,191 ,,"1,374",,"1,778",11,321
92,CAR,CAR,"3,340",+96,40 ,,661,+54,"2,639",2,692
93,French Guiana,French Guiana,"3,270",+237,11 ,+1,"1,166",+70,"2,093",21,"10,955"
94,Thailand,Thailand,"3,162",+4,58 ,,"3,040",+2,64,1,45
95,Somalia,Somalia,"2,878",,90 ,,868,,"1,920",2,181
96,Costa Rica,Costa Rica,"2,836",+152,12 ,,"1,280",+53,"1,544",6,557
97,Croatia,Croatia,"2,539",+56,107 ,,"2,150",+1,282,,618
98,Mayotte,Mayotte,"2,508",,32 ,,"2,218",,258,8,"9,198"
99,Cuba,Cuba,"2,325",+4,85 ,,"2,180",+9,60,1,205
100,Maldives,Maldives,"2,277",,8 ,,"1,848",,421,9,"4,214"
101,Albania,Albania,"2,269",+77,51 ,+2,"1,298",+48,920,15,788
102,Nicaragua,Nicaragua,"2,170",,74 ,,"1,238",,858,,328
103,Mali,Mali,"2,060",+21,113 ,,"1,387",+4,560,,102
104,Sri Lanka,Sri Lanka,"2,014",+4,11 ,,"1,619",+17,384,1,94
105,Equatorial Guinea,Equatorial Guinea,"2,001",,32 ,,515,,"1,454",,"1,428"
106,Estonia,Estonia,"1,986",+2,69 ,,"1,797",+7,120,1,"1,497"
107,South Sudan,South Sudan,"1,942",,36 ,,224,,"1,682",1,174
108,Madagascar,Madagascar,"1,922",+93,16 ,,862,+39,"1,044",20,69
109,Iceland,Iceland,"1,832",+2,10 ,,"1,813",+2,9,,"5,369"
110,Lithuania,Lithuania,"1,808",+2,78 ,,"1,501",+7,229,16,664
111,Paraguay,Paraguay,"1,711",+142,13 ,,"1,013",+37,685,2,240
112,Lebanon,Lebanon,"1,697",+35,33 ,,"1,144",,520,6,249
113,Slovakia,Slovakia,"1,643",+13,28 ,,"1,455",+3,160,,301
114,Slovenia,Slovenia,"1,558",+11,109 ,,"1,376",,73,2,749
115,Palestine,Palestine,"1,557",+175,3 ,,446,,"1,108",,305
116,Guinea-Bissau,Guinea-Bissau,"1,556",,19 ,,191,,"1,346",5,791
117,New Zealand,New Zealand,"1,520",+1,22 ,,"1,484",,14,,304
118,Zambia,Zambia,"1,497",,18 ,,"1,223",,256,1,81
119,Sierra Leone,Sierra Leone,"1,394",+40,59 ,+3,914,+45,421,,175
120,Hong Kong,Hong Kong,"1,197",+3,7 ,,"1,091",+3,99,1,160
121,Tunisia,Tunisia,"1,164",+2,50 ,,"1,023",,91,,99
