,Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
Rwanda,2020-04-20,147,, ,,80,67,,11,,"6,959",537,Africa
Brunei ,2020-04-20,138,,1 ,,116,21,2,315,2,"11,633","26,591",Asia
Gibraltar,2020-04-20,132,, ,,120,12,1,"3,918",,"1,912","56,751",Europe
Cambodia,2020-04-20,122,, ,,110,12,1,7,,"5,768",345,Asia
Madagascar,2020-04-20,121,, ,,41,80,1,4,,"2,357",85,Africa
Gabon,2020-04-20,120,,1 ,,7,112,2,54,0.4,572,257,Africa
Myanmar,2020-04-20,119,,5 ,,7,107,,2,0.09,"4,692",86,Asia
Trinidad and Tobago,2020-04-20,114,,8 ,,26,80,,81,6,"1,380",986,North America
Ethiopia,2020-04-20,111,,3 ,,16,92,1,1.0,0.03,"7,953",69,Africa
Sudan,2020-04-20,107,,12 ,,8,87,,2,0.3,,,Africa
Liberia,2020-04-20,99,,8 ,,7,84,,20,2,,,Africa
Aruba,2020-04-20,97,,2 ,,49,46,4,909,19,"1,442","13,506",North America
French Guiana,2020-04-20,97,,1 ,,69,27,2,325,3,,,South America
Monaco,2020-04-20,94,,3 ,,23,68,3,"2,395",76,,,Europe
Bermuda,2020-04-20,86,,5 ,,37,44,10,"1,381",80,651,"10,453",North America
Togo,2020-04-20,84,,6 ,,53,25,,10,0.7,"4,381",529,Africa
Liechtenstein,2020-04-20,81,,1 ,,55,25,,"2,124",26,900,"23,605",Europe
Equatorial Guinea,2020-04-20,79,, ,,7,72,,56,,854,609,Africa
Barbados,2020-04-20,75,,5 ,,23,47,4,261,17,"1,063","3,699",North America
Maldives,2020-04-20,69,, ,,16,53,1,128,,"4,139","7,657",Asia
Sint Maarten,2020-04-20,67,,10 ,,12,45,6,"1,563",233,163,"3,802",North America
Cabo Verde,2020-04-20,67,,1 ,,1,65,,121,2,,,Africa
Guyana,2020-04-20,66,+1,7 ,,9,50,5,84,9,328,417,South America
Cayman Islands,2020-04-20,66,,1 ,,7,58,3,"1,004",15,778,"11,838",North America
Zambia,2020-04-20,65,,3 ,,35,27,1,4,0.2,"2,586",141,Africa
Bahamas,2020-04-20,60,,9 ,,11,40,1,153,23,,,North America
Haiti,2020-04-20,57,,3 ,,,54,,5,0.3,618,54,North America
French Polynesia,2020-04-20,56,, ,,19,37,1,199,,"1,515","5,393",Australia/Oceania
Uganda,2020-04-20,56,, ,,38,18,,1,,"12,565",275,Africa
Benin,2020-04-20,54,,1 ,,27,26,,4,0.08,,,Africa
Libya,2020-04-20,51,,1 ,,15,35,,7,0.1,808,118,Africa
